17,50,18.75,43.0,60.875,26.375,67.75,19.0,48.75,34.875
17,51,19.625,44.0,62.0,26.125,68.125,19.125,48.75,35.625
18,50,19.875,43.875,61.875,27.25,68.5,18.25,49.0,36.375
18,51,20.0,44.0,62.625,27.875,69.375,18.375,49.625,36.25
17,49,20.0,41.375,59.75,25.875,63.25,16.5,47.5,35.5
18,49,19.5,41.875,59.625,26.625,66.25,17.125,47.75,34.375
18,49,19.125,42.5,60.75,27.25,65.75,16.875,47.875,34.0
18,50,19.25,43.0,61.75,28.0,66.0,16.875,47.25,34.625
18,49,19.0,43.25,61.75,29.0,65.75,17.125,47.0,34.875
19,50,19.125,43.875,61.875,29.625,66.875,17.75,47.375,36.0
19,50,19.625,44.0,62.125,30.0,66.5,17.375,47.75,35.625
19,49,20.0,44.375,61.25,29.875,66.5,16.875,48.0,35.375
18,49,19.0,43.5,60.375,29.0,65.875,16.5,48.0,34.5
18,49,18.375,43.375,60.375,29.0,65.0,16.5,47.5,34.875
19,50,18.375,43.5,60.375,29.125,65.75,16.375,47.875,36.625
20,50,18.125,44.0,60.75,30.0,67.0,16.75,49.0,37.0
19,50,18.25,44.625,60.875,30.0,66.25,17.0,48.125,37.375
19,50,18.625,46.0,61.25,29.75,66.5,16.875,48.75,37.75
19,51,18.75,46.5,61.875,31.375,67.375,17.625,49.0,37.875
20,52,18.875,47.0,63.5,32.125,67.625,17.875,49.25,38.375
20,52,18.875,46.5,63.375,32.125,67.0,18.0,49.0,38.625
20,53,19.25,46.125,63.625,32.125,66.375,18.25,48.875,38.5
20,53,19.25,46.0,63.25,30.75,66.5,18.0,47.75,37.5
20,53,19.125,45.75,63.25,30.0,67.375,18.25,47.5,37.125
20,53,19.0,45.5,62.375,30.0,67.375,18.375,46.0,37.375
19,52,18.875,45.0,61.375,29.25,67.375,17.625,44.5,36.375
20,52,19.0,45.125,61.625,29.25,67.5,18.0,46.0,36.375
20,52,19.25,45.25,62.0,29.5,68.375,18.0,46.75,37.0
20,52,19.0,46.0,62.0,29.875,68.5,17.625,47.0,37.0
21,52,19.125,47.25,62.25,29.875,68.875,18.125,47.25,37.375
21,52,19.125,46.875,62.0,29.375,69.25,18.25,47.125,37.625
21,53,18.875,46.125,61.625,28.875,69.0,18.25,47.75,38.25
